Symbol,Name,Sector,Industry,Unlevered Data,Industry Cost of Capital,Industry Growth,Industry Reinvestment rate
FI,Fiserv,Financial Svcs. (Non-bank & Insurance),Transaction & Payment Processing Services,0.321978751,0.049871016,0.205013107,-0.773954395
FICO,Fair Isaac,Software (System & Application),Application Software,1.272458994,0.094923923,0.159033378,0.476301017
FIS,Fidelity National Information Services,Financial Svcs. (Non-bank & Insurance),Transaction & Payment Processing Services,0.321978751,0.049871016,0.205013107,-0.773954395
FITB,Fifth Third Bancorp,Banks (Regional),Regional Banks,0.333366607,0.046771373,0.092156242,1.957501942
FMC,FMC Corporation,Chemical (Diversified),NA,0.813460858,0.069280335,-0.00755,0.490168696
FOX,Fox Corporation (Class B),Broadcasting,Broadcasting,0.499756675,0.056035943,0.054847059,1.536797306
FOXA,Fox Corporation (Class A),Broadcasting,Broadcasting,0.499756675,0.056035943,0.054847059,1.536797306
FRT,Federal Realty Investment Trust,Retail (REITs),Retail REITs,0.786674702,0.069402205,0.041101852,-0.085253457
FSLR,First Solar,Semiconductor,Semiconductors,1.460244594,0.103622461,0.064411628,0.934351556
FTNT,Fortinet,Software (System & Application),Systems Software,1.272458994,0.094923923,0.159033378,0.476301017
FTV,Fortive,Machinery,Industrial Machinery & Supplies & Components,0.937609554,0.079092309,0.047126,0.915912511
GD,General Dynamics,Aerospace/Defense,Aerospace & Defense,0.930853541,0.07813356,0.075882564,0.401672464
GDDY,GoDaddy,Information Services,Internet Services & Infrastructure,0.772382491,0.070185232,0.04717,0.001496213
GE,GE Aerospace,Aerospace/Defense,Aerospace & Defense,0.930853541,0.07813356,0.075882564,0.401672464
GEHC,GE HealthCare,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
GEN,Gen Digital,Software (System & Application),Systems Software,1.272458994,0.094923923,0.159033378,0.476301017
GEV,GE Vernova,Electrical Equipment,Heavy Electrical Equipment,1.145843472,0.086066369,0.149078298,1.622376012
GILD,Gilead Sciences,Drugs (Biotechnology),Biotechnology,1.08909647,0.083386527,0.189508512,0.442198086
GIS,General Mills,Food Processing,Packaged Foods & Meats,0.495879272,0.059473284,0.072433478,0.592094421
GL,Globe Life,Insurance (Life),Life & Health Insurance,0.539831119,0.056806764,-0.000625,-0.078830681
GLW,Corning Inc.,Electronics (General),Electronic Components,0.877205174,0.075361085,0.158239651,0.9658047
GM,General Motors,Auto & Truck,Automobile Manufacturers,1.304030918,0.092567584,0.219421111,0.703821334
GNRC,Generac,Electrical Equipment,Electrical Components & Equipment,1.145843472,0.086066369,0.149078298,1.622376012
GOOG,Alphabet Inc. (Class C),Software (Internet),Interactive Media & Services,1.511756338,0.10592036,0.222445455,0.44097668
GOOGL,Alphabet Inc. (Class A),Software (Internet),Interactive Media & Services,1.511756338,0.10592036,0.222445455,0.44097668
GPC,Genuine Parts Company,Retail (Distributors),Distributors,0.909325554,0.077098414,0.058054595,0.750757364
GPN,Global Payments,Financial Svcs. (Non-bank & Insurance),Transaction & Payment Processing Services,0.321978751,0.049871016,0.205013107,-0.773954395
GRMN,Garmin,Electronics (Consumer & Office),Consumer Electronics,1.302963609,0.089049334,-0.06321,0.871216099
GS,Goldman Sachs,Brokerage & Investment Banking,Investment Banking & Brokerage,0.550778221,0.054148675,0.127874737,8.460207121
GWW,W. W. Grainger,Machinery,Industrial Machinery & Supplies & Components,0.937609554,0.079092309,0.047126,0.915912511
HAL,Halliburton,Oilfield Svcs/Equip.,Oil & Gas Equipment & Services,0.852901738,0.072739439,0.077372121,0.411734528
HAS,Hasbro,Recreation,Leisure Products,0.848878006,0.072533852,0.109518621,0.482857475
HBAN,Huntington Bancshares,Banks (Regional),Regional Banks,0.333366607,0.046771373,0.092156242,1.957501942
HCA,HCA Healthcare,Hospitals/Healthcare Facilities,Health Care Facilities,0.559996107,0.061017936,0.181068947,0.407749816
HD,Home Depot (The),Retail (Building Supply),Home Improvement Retail,1.70415318,0.113035222,0.089053846,0.058794935
